country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,161,175,227,231,260,344,322,436,643,709,689,875,854,788,767,552,575,636
Algeria,,,,,,,,,,,,27,29.5,33.6,36.7,39.4,45.4,48.7,55.1,59.8,56.4,59.8,74.2,79.5,95.6,104,169,180,193,214,241,250,271,265,277,284,295,294,325,353,373,390,410,452,466,533,504,532,591
Angola,,,,,,,,,,,,67.6,74.7,85.8,108,117,51.8,50,49,51.2,52.5,51.5,53.9,56.6,47.2,55.7,54.5,54,53.4,52.8,52.1,51.2,50,49,48.1,47,49.1,67.3,72,71.6,76.1,84.9,89.4,98.3,107,123,134,147,173
Argentina,,,,,,,,,,,,217,226,233,238,255,281,283,292,304,312,311,294,303,317,318,338,372,347,325,337,359,394,427,457,484,493,512,524,555,570,578,554,557,575,615,654,709,768
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,700,717,420,310,209,354,795,579,531,512,488,497,534,550,578,574,595,604
Australia,654,712,746,799,855,905,963,1030,1080,1160,1210,1290,1360,1400,1450,1610,1670,1800,1860,1960,1980,2040,2110,2100,2140,2060,2150,2190,2190,2180,2270,2280,2250,2300,2270,2330,2360,2410,2460,2500,2550,2560,2620,2580,2680,2760,2770,2750,2830
Austria,245,267,301,328,360,389,415,451,489,535,591,651,729,800,843,896,975,1010,1080,1110,1160,982,968,994,1040,1100,1110,1460,1490,1510,1540,1610,1610,1650,1620,1690,1760,1720,1730,1740,1750,1880,1940,2070,2050,2090,2080,2050,2070
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,46.8,1030,1280,1460,1310,1340,1540,1510,1420,1730,1040,922
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,2780,3230,3420,3430,3500,3530,3630,3290,3760,3980,4170,4260,4520,4470,4890,4970,4860,5060,5370,5610,5810,6260,7300,8450,7310
Bangladesh,,,,,,,,,,,,1.89,1.85,1.88,2.4,2.03,1.73,1.83,2.53,2.67,2.59,3.28,3.86,4.86,5.57,6.59,7.3,8.21,8.74,10.2,11.1,12.8,17.2,20,21.6,23.5,29.2,30,31.6,34.7,42.2,46.5,49.9,52.4,56.7,59.1,63.2,62.6,68.1
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,464,427,435,442,468,488,514,537,562,537,539,559,587,587,579,558,584,615
Belgium,165,187,217,243,269,305,337,366,409,459,511,563,630,781,853,947,1040,1130,1220,1290,1330,1370,1390,1440,1490,1570,1620,1710,1730,1780,1850,1990,2020,2090,2110,2180,2280,2250,2290,2300,2310,2370,2510,2520,2570,2510,2190,2100,1920
Benin,,,,,,,,,,,,1.86,2.17,2.47,2.75,2.67,2.92,1.89,25.5,12.2,13.7,15.5,8.51,17.9,15.8,16.8,16.8,18.1,18.5,18.1,17.5,17,16.3,19,20.1,20.9,14.3,17,16.8,24.2,24.3,25.4,33.6,28.5,30.3,36.9,36.8,37.4,38.2
Bolivia,,,,,,,,,,,,42.4,41.6,41.7,43.8,45.6,48.2,50.8,55.5,61.4,66,71.4,70.5,73.9,79.9,84.9,92.2,100,106,109,110,112,116,122,132,141,144,152,159,165,171,169,171,173,178,186,194,201,213
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,619,578,503,638,682,737,885,977,977,908,908,908,911,888,920,916,904,927
Botswana,,,,,,,,,,,,,,,,,,,,,,31,34,34.8,38.4,38.9,38.6,37.4,48.8,58.8,62.5,67.6,72.3,89.5,104,111,116,124,111,120,128,206,225,252,328,345,350,416,455
Brazil,,,,,,,,,,,,93.9,98.5,106,113,121,133,150,162,175,189,199,210,226,230,238,255,269,278,294,322,333,333,339,348,389,416,440,464,469,476,415,404,418,427,447,456,478,498
Brunei,,,,,,,,,,,,520,502,482,470,455,439,425,411,397,529,700,812,946,1010,995,975,1270,1290,1290,1290,1280,1310,1380,1450,1550,1590,1710,1600,1520,1560,1390,1110,1270,1300,1060,817,875,3070
Bulgaria,,,,,,,,,,,,331,376,423,474,526,593,629,663,739,774,789,900,954,1060,1070,970,1050,1110,1130,1180,1190,1160,1190,1170,1330,1410,1230,1320,1280,1260,1260,1220,1230,1170,1210,1260,1280,1380
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21,10.6,13.4,15.4,13.5,17.1,18.8,20.4,20.4,24.4,28,34.1,43.4,51.6
Cameroon,,,,,,,,,,,,6.41,10.3,11,11.6,12.6,14,15.3,17.3,19.4,20.5,21.4,25.1,26.2,26.6,30.6,28.9,30.6,29.7,29.2,26.9,26.3,27.3,27.2,22.4,21.4,23.2,24.7,27.2,26.9,25.4,24.9,28.7,30.5,32.9,30.5,46.3,44,59.5
Canada,902,1010,1000,1040,1160,1270,1470,1530,1630,1790,1970,2230,2150,2300,2590,2760,3010,3220,3280,3300,3450,3500,3610,3770,3910,4000,4160,4200,4490,4740,4670,4600,4640,4580,4540,4440,4510,4440,4220,4310,4420,4440,4470,4600,4650,4600,4440,4580,4770
Chile,,,,,,,,,,,,89.3,108,119,119,124,122,136,146,153,161,169,170,155,138,165,190,201,198,192,330,340,365,390,419,444,489,360,388,399,408,451,462,469,495,519,530,547,533
